"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2007";"Nederland";"181336";"11.1";"92560";"88776";"46.8";"46.8";"1.72";"181336";"1858";"16384";"48863";"67787";"39668";"6522";"254";"181336";"81905";"66842";"23456";"9133";"181336";"109777";"71559";"";"";"";"";"";""
"2007";"Noord-Nederland (LD)";"17594";"10.3";"8942";"8652";"45.5";"47.3";"1.75";"17594";"201";"1770";"5168";"6383";"3520";"540";"12";"17594";"7692";"6651";"2491";"760";"17594";"9663";"7931";"";"01";"";"";"";""
"2007";"Oost-Nederland (LD)";"39778";"11.4";"20325";"19453";"48.8";"49.5";"1.83";"39778";"397";"3622";"11294";"14997";"8151";"1263";"54";"39778";"17286";"14651";"5513";"2328";"39778";"25682";"14096";"";"02";"";"";"";""
"2007";"West-Nederland (LD)";"89179";"11.7";"45467";"43712";"47.9";"46.3";"1.69";"89179";"917";"8305";"22831";"32505";"20769";"3699";"153";"89179";"40744";"32302";"11320";"4813";"89179";"53215";"35964";"";"03";"";"";"";""
"2007";"Zuid-Nederland (LD)";"34785";"9.8";"17826";"16959";"42.8";"44.9";"1.66";"34785";"343";"2687";"9570";"13902";"7228";"1020";"35";"34785";"16183";"13238";"4132";"1232";"34785";"21217";"13568";"";"04";"";"";"";""
"2007";"Groningen (PV)";"5677";"9.9";"2860";"2817";"41.2";"41.7";"1.54";"5677";"68";"614";"1633";"2026";"1131";"200";"5";"5677";"2561";"2156";"723";"237";"5677";"2926";"2751";"";"01";"20";"";"";""
"2007";"Friesland (PV)";"7059";"11.0";"3595";"3464";"49.3";"51.4";"1.91";"7059";"72";"702";"2085";"2553";"1450";"194";"3";"7059";"3032";"2559";"1125";"343";"7059";"3950";"3109";"";"01";"21";"";"";""
"2007";"Drenthe (PV)";"4858";"10.0";"2487";"2371";"46.1";"49.5";"1.88";"4858";"61";"454";"1450";"1804";"939";"146";"4";"4858";"2099";"1936";"643";"180";"4858";"2787";"2071";"";"01";"22";"";"";""
"2007";"Overijssel (PV)";"13368";"12.0";"6837";"6531";"51.8";"51.7";"1.91";"13368";"125";"1173";"3832";"5208";"2674";"336";"20";"13368";"5779";"4913";"1963";"713";"13368";"9010";"4358";"";"02";"23";"";"";""
"2007";"Flevoland (PV)";"5219";"13.9";"2723";"2496";"53.5";"53.3";"2.00";"5219";"88";"690";"1688";"1707";"870";"165";"11";"5219";"2243";"1881";"713";"382";"5219";"3168";"2051";"";"02";"24";"";"";""
"2007";"Gelderland (PV)";"21191";"10.7";"10765";"10426";"46.1";"47.4";"1.75";"21191";"184";"1759";"5774";"8082";"4607";"762";"23";"21191";"9264";"7857";"2837";"1233";"21191";"13504";"7687";"";"02";"25";"";"";""
"2007";"Utrecht (PV)";"15453";"12.9";"7844";"7609";"51.1";"48.9";"1.78";"15453";"102";"1082";"3599";"6053";"3963";"632";"22";"15453";"6809";"5845";"2018";"781";"15453";"9882";"5571";"";"03";"26";"";"";""
"2007";"Noord-Holland (PV)";"30510";"11.6";"15675";"14835";"47.5";"45.3";"1.65";"30510";"286";"2473";"7052";"11283";"7889";"1466";"61";"30510";"14338";"11099";"3736";"1337";"30510";"16594";"13916";"";"03";"27";"";"";""
"2007";"Zuid-Holland (PV)";"39465";"11.4";"20016";"19449";"47.1";"45.9";"1.69";"39465";"487";"4264";"11021";"13888";"8258";"1479";"68";"39465";"17943";"14082";"5060";"2380";"39465";"24197";"15268";"";"03";"28";"";"";""
"2007";"Zeeland (PV)";"3751";"9.9";"1932";"1819";"46.1";"48.3";"1.83";"3751";"42";"486";"1159";"1281";"659";"122";"2";"3751";"1654";"1276";"506";"315";"3751";"2542";"1209";"";"03";"29";"";"";""
"2007";"Noord-Brabant (PV)";"25327";"10.5";"12937";"12390";"45.1";"46.2";"1.71";"25327";"220";"1854";"6884";"10168";"5436";"741";"24";"25327";"11687";"9670";"3058";"912";"25327";"15544";"9783";"";"04";"30";"";"";""
"2007";"Limburg (PV)";"9458";"8.4";"4889";"4569";"37.8";"41.6";"1.55";"9458";"123";"833";"2686";"3734";"1792";"279";"11";"9458";"4496";"3568";"1074";"320";"9458";"5673";"3785";"";"04";"31";"";"";""
"2007";"Oost-Groningen (CR)";"1396";"9.1";"722";"674";"42.6";"45.6";"1.76";"1396";"23";"187";"452";"450";"250";"34";"-";"1396";"621";"529";"185";"61";"1396";"768";"628";"";"01";"20";"01";"";""
"2007";"Delfzijl en omgeving (CR)";"481";"9.5";"250";"231";"45.3";"49.7";"1.92";"481";"11";"65";"147";"184";"64";"10";"-";"481";"209";"188";"63";"21";"481";"253";"228";"";"01";"20";"02";"";""
"2007";"Overig Groningen (CR)";"3800";"10.3";"1888";"1912";"40.3";"39.6";"1.48";"3800";"34";"362";"1034";"1392";"817";"156";"5";"3800";"1731";"1439";"475";"155";"3800";"1905";"1895";"";"01";"20";"03";"";""
"2007";"Noord-Friesland (CR)";"3665";"11.1";"1887";"1778";"48.5";"49.8";"1.84";"3665";"43";"365";"1124";"1321";"711";"101";"-";"3665";"1598";"1345";"557";"165";"3665";"2038";"1627";"";"01";"21";"04";"";""
"2007";"Zuidwest-Friesland (CR)";"1202";"11.4";"624";"578";"52.9";"56.2";"2.09";"1202";"9";"98";"336";"444";"281";"33";"1";"1202";"485";"439";"211";"67";"1202";"675";"527";"";"01";"21";"05";"";""
"2007";"Zuidoost-Friesland (CR)";"2192";"10.6";"1084";"1108";"48.8";"51.8";"1.95";"2192";"20";"239";"625";"788";"458";"60";"2";"2192";"949";"775";"357";"111";"2192";"1237";"955";"";"01";"21";"06";"";""
"2007";"Noord-Drenthe (CR)";"1852";"9.9";"976";"876";"46.2";"51.1";"1.93";"1852";"17";"146";"506";"701";"411";"69";"2";"1852";"799";"743";"238";"72";"1852";"1038";"814";"";"01";"22";"07";"";""
"2007";"Zuidoost-Drenthe (CR)";"1625";"9.5";"821";"804";"43.6";"46.5";"1.79";"1625";"31";"183";"528";"557";"279";"45";"2";"1625";"722";"630";"222";"51";"1625";"908";"717";"";"01";"22";"08";"";""
"2007";"Zuidwest-Drenthe (CR)";"1381";"10.7";"690";"691";"49.3";"51.3";"1.92";"1381";"13";"125";"416";"546";"249";"32";"-";"1381";"578";"563";"183";"57";"1381";"841";"540";"";"01";"22";"09";"";""
"2007";"Noord-Overijssel (CR)";"4462";"12.8";"2271";"2191";"53.9";"53.0";"1.95";"4462";"37";"398";"1340";"1687";"873";"121";"6";"4462";"1865";"1595";"685";"317";"4462";"3198";"1264";"";"02";"23";"10";"";""
"2007";"Zuidwest-Overijssel (CR)";"1811";"12.0";"924";"887";"50.5";"50.4";"1.85";"1811";"14";"140";"490";"726";"392";"45";"4";"1811";"780";"715";"247";"69";"1811";"1056";"755";"";"02";"23";"11";"";""
"2007";"Twente (CR)";"7095";"11.5";"3642";"3453";"50.9";"51.3";"1.90";"7095";"74";"635";"2002";"2795";"1409";"170";"10";"7095";"3134";"2603";"1031";"327";"7095";"4756";"2339";"";"02";"23";"12";"";""
"2007";"Veluwe (CR)";"7259";"11.2";"3634";"3625";"48.6";"50.1";"1.86";"7259";"63";"734";"2173";"2613";"1418";"253";"5";"7259";"2945";"2607";"1084";"623";"7259";"5391";"1868";"";"02";"25";"13";"";""
"2007";"Achterhoek (CR)";"4005";"10.0";"2035";"1970";"46.7";"51.0";"1.89";"4005";"38";"241";"1009";"1641";"939";"135";"2";"4005";"1737";"1556";"560";"152";"4005";"2273";"1732";"";"02";"25";"14";"";""
