"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2000";"Nederland";"206619";"13.0";"105637";"100982";"52.4";"52.4";"1.72";"206619";"2503";"17456";"57358";"87117";"36750";"5249";"186";"206619";"95972";"74014";"25685";"10948";"206619";"155080";"51539";"";"";"";"";"";""
"2000";"Noord-Nederland (LD)";"20341";"12.2";"10406";"9935";"50.9";"52.9";"1.74";"20341";"254";"1594";"6283";"8480";"3279";"433";"18";"20341";"9232";"7516";"2615";"978";"20341";"14775";"5566";"";"01";"";"";"";""
"2000";"Oost-Nederland (LD)";"45358";"13.6";"23075";"22283";"55.3";"56.0";"1.84";"45358";"472";"3692";"12921";"19428";"7738";"1069";"38";"45358";"20426";"16213";"5951";"2768";"45358";"36029";"9329";"";"02";"";"";"";""
"2000";"West-Nederland (LD)";"98209";"13.2";"50332";"47877";"52.5";"51.2";"1.69";"98209";"1338";"9181";"26386";"39680";"18570";"2945";"109";"98209";"45949";"34559";"12098";"5603";"98209";"70786";"27423";"";"03";"";"";"";""
"2000";"Zuid-Nederland (LD)";"42711";"12.2";"21824";"20887";"50.0";"51.4";"1.68";"42711";"439";"2989";"11768";"19529";"7163";"802";"21";"42711";"20365";"15726";"5021";"1599";"42711";"33490";"9221";"";"04";"";"";"";""
"2000";"Groningen (PV)";"6510";"11.5";"3354";"3156";"45.9";"46.8";"1.54";"6510";"112";"588";"1946";"2621";"1082";"154";"7";"6510";"3137";"2361";"698";"314";"6510";"4457";"2053";"";"01";"20";"";"";""
"2000";"Friesland (PV)";"8009";"12.8";"4077";"3932";"53.8";"56.5";"1.86";"8009";"97";"586";"2519";"3348";"1294";"157";"8";"8009";"3444";"2966";"1154";"445";"8009";"5835";"2174";"";"01";"21";"";"";""
"2000";"Drenthe (PV)";"5822";"12.3";"2975";"2847";"53.2";"56.1";"1.87";"5822";"45";"420";"1818";"2511";"903";"122";"3";"5822";"2651";"2189";"763";"219";"5822";"4483";"1339";"";"01";"22";"";"";""
"2000";"Overijssel (PV)";"14924";"13.8";"7673";"7251";"57.1";"57.6";"1.89";"14924";"161";"1188";"4264";"6569";"2423";"305";"14";"14924";"6643";"5445";"1970";"866";"14924";"12177";"2747";"";"02";"23";"";"";""
"2000";"Flevoland (PV)";"5064";"15.7";"2554";"2510";"58.2";"58.3";"1.99";"5064";"67";"593";"1586";"1957";"740";"113";"8";"5064";"2226";"1795";"684";"359";"5064";"3794";"1270";"";"02";"24";"";"";""
"2000";"Gelderland (PV)";"25370";"13.2";"12848";"12522";"53.7";"54.7";"1.79";"25370";"244";"1911";"7071";"10902";"4575";"651";"16";"25370";"11557";"8973";"3297";"1543";"25370";"20058";"5312";"";"02";"25";"";"";""
"2000";"Utrecht (PV)";"16080";"14.4";"8262";"7818";"55.2";"53.1";"1.74";"16080";"136";"1178";"4045";"6916";"3321";"471";"13";"16080";"7527";"5697";"1983";"873";"16080";"12432";"3648";"";"03";"26";"";"";""
"2000";"Noord-Holland (PV)";"33618";"13.3";"17339";"16279";"52.3";"49.9";"1.65";"33618";"404";"2928";"8419";"13771";"6847";"1214";"35";"33618";"16169";"12017";"3909";"1523";"33618";"22342";"11276";"";"03";"27";"";"";""
"2000";"Zuid-Holland (PV)";"44022";"12.9";"22415";"21607";"51.6";"51.0";"1.69";"44022";"749";"4599";"12496";"17157";"7799";"1165";"57";"44022";"20346";"15265";"5591";"2820";"44022";"32424";"11598";"";"03";"28";"";"";""
"2000";"Zeeland (PV)";"4489";"12.0";"2316";"2173";"52.9";"55.3";"1.86";"4489";"49";"476";"1426";"1836";"603";"95";"4";"4489";"1907";"1580";"615";"387";"4489";"3588";"901";"";"03";"29";"";"";""
"2000";"Noord-Brabant (PV)";"30476";"12.9";"15603";"14873";"52.5";"53.0";"1.73";"30476";"300";"2044";"8449";"14035";"5072";"559";"17";"30476";"14356";"11165";"3741";"1214";"30476";"23935";"6541";"";"04";"30";"";"";""
"2000";"Limburg (PV)";"12235";"10.7";"6221";"6014";"44.8";"47.8";"1.58";"12235";"139";"945";"3319";"5494";"2091";"243";"4";"12235";"6009";"4561";"1280";"385";"12235";"9555";"2680";"";"04";"31";"";"";""
"2000";"Oost-Groningen (CR)";"1676";"10.9";"902";"774";"48.0";"50.0";"1.69";"1676";"21";"157";"581";"702";"192";"23";"-";"1676";"837";"614";"156";"69";"1676";"1217";"459";"";"01";"20";"01";"";""
"2000";"Delfzijl en omgeving (CR)";"601";"11.5";"298";"303";"50.2";"54.4";"1.83";"601";"11";"65";"185";"242";"86";"12";"-";"601";"286";"214";"70";"31";"601";"443";"158";"";"01";"20";"02";"";""
"2000";"Overig Groningen (CR)";"4233";"11.8";"2154";"2079";"44.7";"44.8";"1.49";"4233";"80";"366";"1180";"1677";"804";"119";"7";"4233";"2014";"1533";"472";"214";"4233";"2797";"1436";"";"01";"20";"03";"";""
"2000";"Noord-Friesland (CR)";"4038";"12.4";"2056";"1982";"51.3";"53.9";"1.78";"4038";"52";"337";"1281";"1633";"655";"75";"5";"4038";"1775";"1463";"565";"235";"4038";"2889";"1149";"";"01";"21";"04";"";""
"2000";"Zuidwest-Friesland (CR)";"1429";"13.9";"722";"707";"60.6";"62.3";"2.04";"1429";"20";"81";"424";"638";"230";"34";"2";"1429";"582";"514";"247";"86";"1429";"1043";"386";"";"01";"21";"05";"";""
"2000";"Zuidoost-Friesland (CR)";"2542";"12.7";"1299";"1243";"54.7";"57.8";"1.91";"2542";"25";"168";"814";"1077";"409";"48";"1";"2542";"1087";"989";"342";"124";"2542";"1903";"639";"";"01";"21";"06";"";""
"2000";"Noord-Drenthe (CR)";"2172";"12.1";"1120";"1052";"53.0";"56.6";"1.87";"2172";"10";"136";"609";"960";"396";"60";"1";"2172";"992";"818";"281";"81";"2172";"1639";"533";"";"01";"22";"07";"";""
"2000";"Zuidoost-Drenthe (CR)";"1989";"11.8";"1029";"960";"50.6";"52.7";"1.76";"1989";"22";"152";"646";"866";"265";"36";"2";"1989";"945";"748";"230";"66";"1989";"1496";"493";"";"01";"22";"08";"";""
"2000";"Zuidwest-Drenthe (CR)";"1661";"13.3";"826";"835";"57.0";"60.1";"2.00";"1661";"13";"132";"563";"685";"242";"26";"-";"1661";"714";"623";"252";"72";"1661";"1348";"313";"";"01";"22";"09";"";""
"2000";"Noord-Overijssel (CR)";"5091";"14.6";"2586";"2505";"59.1";"59.9";"1.97";"5091";"58";"433";"1571";"2127";"792";"105";"5";"5091";"2136";"1835";"724";"396";"5091";"4273";"818";"";"02";"23";"10";"";""
"2000";"Zuidwest-Overijssel (CR)";"1865";"13.7";"960";"905";"55.4";"54.6";"1.78";"1865";"27";"146";"490";"818";"341";"42";"1";"1865";"863";"705";"229";"68";"1865";"1376";"489";"";"02";"23";"11";"";""
